Series Name,Series Code,Country Name,Country Code,2012 [YR2012],2015 [YR2015],2018 [YR2018]
PIB ($ US courants),NY.GDP.MKTP.CD,Argentine,ARG,545982375701.128,594749285413.212,519871519807.795
PIB ($ US courants),NY.GDP.MKTP.CD,Brésil,BRA,2465188674415.03,1802214373741.32,1868626087908.48
PIB ($ US courants),NY.GDP.MKTP.CD,France,FRA,2683825225092.63,2438207896251.84,2777535239277.98
PIB ($ US courants),NY.GDP.MKTP.CD,Japon,JPN,6203213121334.12,4389475622588.97,4971323079771.87
PIB ($ US courants),NY.GDP.MKTP.CD,Jordanie,JOR,31371056338.0282,38043450704.2253,42231295774.6479
PIB ($ US courants),NY.GDP.MKTP.CD,Kazakhstan,KAZ,207998568865.789,184388432148.715,179339994859.384
PIB ($ US courants),NY.GDP.MKTP.CD,Corée, République de,KOR,1222807284485.31,1382764027113.82,1619423701169.63
PIB ($ US courants),NY.GDP.MKTP.CD,Mexique,MEX,1201089987015.45,1170564619927.69,1220699479845.98
PIB ($ US courants),NY.GDP.MKTP.CD,Fédération de Russie,RUS,2210256976945.38,1363594369577.82,1657554647149.87
PIB ($ US courants),NY.GDP.MKTP.CD,Turquie,TUR,873982246611.954,859796872677.614,771350330455.267
